ID Parent + Date + Fingerpr;cParent;AA2090-010;BK0348;AY2889;749794-010;AH9608-010;Date;cFingerprint;Nosto ID 0/1;Google ID 0/1;Facebook ID 0/1;Instagram ID 0/1;Anders ID 0/1;fPrice;Basispreis;Preis/Basispreis;cOS;iOS;Android;Windows;nPageVisited;nBasketUnique;nBasket;Registered;LoggedIn;Basket 0/1;Bought 0/1
749794-010 - 43516 - 280612412;749794-010;0;0;0;1;0;43516;280612412;0;1;0;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2846739320;749794-010;0;0;0;1;0;43516;2846739320;1;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 2920601396;749794-010;0;0;0;1;0;43516;2920601396;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 29439524;749794-010;0;0;0;1;0;43516;29439524;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3023755885;749794-010;0;0;0;1;0;43516;3023755885;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 302479428;749794-010;0;0;0;1;0;43516;302479428;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3041678032;749794-010;0;0;0;1;0;43516;3041678032;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 305894431;749794-010;0;0;0;1;0;43516;305894431;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 3069432494;749794-010;0;0;0;1;0;43516;3069432494;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3100662102;749794-010;0;0;0;1;0;43516;3100662102;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3106648404;749794-010;0;0;0;1;0;43516;3106648404;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3119891453;749794-010;0;0;0;1;0;43516;3119891453;0;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 3135388494;749794-010;0;0;0;1;0;43516;3135388494;1;0;1;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 3153846625;749794-010;0;0;0;1;0;43516;3153846625;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 3231231084;749794-010;0;0;0;1;0;43516;3231231084;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3241700055;749794-010;0;0;0;1;0;43516;3241700055;0;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3243139635;749794-010;0;0;0;1;0;43516;3243139635;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3302500064;749794-010;0;0;0;1;0;43516;3302500064;0;1;0;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3305809460;749794-010;0;0;0;1;0;43516;3305809460;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3340891874;749794-010;0;0;0;1;0;43516;3340891874;0;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 3343180073;749794-010;0;0;0;1;0;43516;3343180073;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3375722401;749794-010;0;0;0;1;0;43516;3375722401;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3403463040;749794-010;0;0;0;1;0;43516;3403463040;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3424200809;749794-010;0;0;0;1;0;43516;3424200809;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3466056705;749794-010;0;0;0;1;0;43516;3466056705;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3490390117;749794-010;0;0;0;1;0;43516;3490390117;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;0
749794-010 - 43516 - 3494012452;749794-010;0;0;0;1;0;43516;3494012452;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 3522621457;749794-010;0;0;0;1;0;43516;3522621457;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3637664564;749794-010;0;0;0;1;0;43516;3637664564;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3652312243;749794-010;0;0;0;1;0;43516;3652312243;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3664777940;749794-010;0;0;0;1;0;43516;3664777940;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3689358645;749794-010;0;0;0;1;0;43516;3689358645;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;1;0;0;0
749794-010 - 43516 - 3843744845;749794-010;0;0;0;1;0;43516;3843744845;0;0;1;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 3859754749;749794-010;0;0;0;1;0;43516;3859754749;1;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 387824293;749794-010;0;0;0;1;0;43516;387824293;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3888024361;749794-010;0;0;0;1;0;43516;3888024361;0;0;1;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 394442948;749794-010;0;0;0;1;0;43516;394442948;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 3978113001;749794-010;0;0;0;1;0;43516;3978113001;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;1;0
749794-010 - 43516 - 3995158360;749794-010;0;0;0;1;0;43516;3995158360;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4011482675;749794-010;0;0;0;1;0;43516;4011482675;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4073366821;749794-010;0;0;0;1;0;43516;4073366821;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4107959934;749794-010;0;0;0;1;0;43516;4107959934;1;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 4142490609;749794-010;0;0;0;1;0;43516;4142490609;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4142852567;749794-010;0;0;0;1;0;43516;4142852567;0;1;0;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43516 - 4160649147;749794-010;0;0;0;1;0;43516;4160649147;1;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4187289241;749794-010;0;0;0;1;0;43516;4187289241;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4196759354;749794-010;0;0;0;1;0;43516;4196759354;1;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4224813726;749794-010;0;0;0;1;0;43516;4224813726;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;1;0;1;1
749794-010 - 43516 - 423587684;749794-010;0;0;0;1;0;43516;423587684;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4237302374;749794-010;0;0;0;1;0;43516;4237302374;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 4242176941;749794-010;0;0;0;1;0;43516;4242176941;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;1
749794-010 - 43516 - 4269612493;749794-010;0;0;0;1;0;43516;4269612493;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 4284319400;749794-010;0;0;0;1;0;43516;4284319400;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 429618842;749794-010;0;0;0;1;0;43516;429618842;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 473688836;749794-010;0;0;0;1;0;43516;473688836;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 50589368;749794-010;0;0;0;1;0;43516;50589368;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 587431450;749794-010;0;0;0;1;0;43516;587431450;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 604482476;749794-010;0;0;0;1;0;43516;604482476;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 622371351;749794-010;0;0;0;1;0;43516;622371351;0;1;0;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;1;1
749794-010 - 43516 - 762851341;749794-010;0;0;0;1;0;43516;762851341;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 832130504;749794-010;0;0;0;1;0;43516;832130504;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 843527009;749794-010;0;0;0;1;0;43516;843527009;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 891867563;749794-010;0;0;0;1;0;43516;891867563;0;1;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43516 - 919903022;749794-010;0;0;0;1;0;43516;919903022;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43516 - 920380076;749794-010;0;0;0;1;0;43516;920380076;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 922035305;749794-010;0;0;0;1;0;43516;922035305;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 971528771;749794-010;0;0;0;1;0;43516;971528771;0;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43516 - 991863029;749794-010;0;0;0;1;0;43516;991863029;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1033563140;749794-010;0;0;0;1;0;43517;1033563140;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1055666262;749794-010;0;0;0;1;0;43517;1055666262;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43517 - 107459723;749794-010;0;0;0;1;0;43517;107459723;0;0;0;0;1;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1151797198;749794-010;0;0;0;1;0;43517;1151797198;0;0;0;0;1;45.95;45.95;1.000000;iOS;1;0;0;3;0;0;0;0;0;0
749794-010 - 43517 - 1374292146;749794-010;0;0;0;1;0;43517;1374292146;1;0;0;0;1;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43517 - 1411280079;749794-010;0;0;0;1;0;43517;1411280079;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1427998730;749794-010;0;0;0;1;0;43517;1427998730;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;1;0
749794-010 - 43517 - 1433023552;749794-010;0;0;0;1;0;43517;1433023552;1;1;0;0;0;45.95;45.95;1.000000;Windows;0;0;1;2;0;0;0;0;0;0
749794-010 - 43517 - 1470523796;749794-010;0;0;0;1;0;43517;1470523796;0;0;1;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;1;0;0;0
749794-010 - 43517 - 1483313072;749794-010;0;0;0;1;0;43517;1483313072;0;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;1;0;0;0
749794-010 - 43517 - 1514023105;749794-010;0;0;0;1;0;43517;1514023105;0;1;0;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1545617862;749794-010;0;0;0;1;0;43517;1545617862;1;0;1;0;0;45.95;45.95;1.000000;iOS;1;0;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1555780810;749794-010;0;0;0;1;0;43517;1555780810;0;0;1;0;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
749794-010 - 43517 - 1727432165;749794-010;0;0;0;1;0;43517;1727432165;1;0;0;1;0;45.95;45.95;1.000000;Android;0;1;0;2;0;0;0;0;0;0
